How do you remove mold from a tent?	How do I remove mildew from a tent?
What could be wrong with my air conditioner?	What could be wrong with my A/C unit?
Senate confirms Obama nominee to key appeals court	Senate approves Obama nominee to key appeals court
What more can I do to improve my credit score?	What can I realistically do to raise my credit score?
Chinese lunar rover lands on moon	China lands robot rover on moon
How do I pump up water pressure in my shower?	How can I boost the water pressure in my shower?
How can I locate and repair a leak?	How can I locate and repair a break in a circuit?
The way that a 'term' is defined depends on the application.	The definition of term is dependent on the application.
The methodology takes much less time rather than naive methods.	This is a much quicker method than other more naive methods.
A hyperlink to a page counts as a vote of support.	A link to a page is seen as a vote of support.
Russian opposition leader under house arrest	Russian Opposition Leader Placed Under House Arrest
You do not need to worry.	You don't have to worry.
I was in a similar situation.	I had a similar situation.
They decided to protect and polish what remained.	They made a decision to protect and polish what remained 
The final chapter in the trilogy, The Matrix Revolutions, is out in November.	The third and final film, "The Matrix Revolutions," will be released in November.
The stock has risen 44 cents in recent days.	The stock had risen 44 cents in the past four trading sessions.
He married Marta Casals, the widow of Pablo Casals.	He married Casals‘ widow, Marta, after Casals‘ death.
A young cat sprints.	A kitten runs fast.
A young cat sprints.	A kitten runs. 
He considered to skip work.	He took skipping work into consideration.
It had an impact on the outcome.	It affected the outcome.
It got out of hand.	It got out of control.
We eat french fries.	We eat chips.
They broke up.	They split.
Have a blast.	Have a good time.
You should take a break.	You should rest.
He kicked the bucket.	He died. 
Hang in there.	Don´t give up.
Hit the sack.	Go to sleep.
