pair_ID	sentence_A	sentence_B	relatedness_score	f_score	mse
8678	A skateboarder is jumping off a ramp	A skateboarder is making a jump off a ramp	0.960	0.250	0.504
218	A girl in white is dancing	A girl is wearing white clothes and is dancing	0.980	0.316	0.441
765	The kid is happily sliding in the snow	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	0.800	0.167	0.401
3122	A woman is using a pencil for eyes and is applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	0.920	0.296	0.389
1584	A hole is being burrowed by the badger	A badger is shrewdly digging the earth	0.900	0.286	0.377
9571	An elder man is sitting on a bench and is wearing a gray jacket and black pants	An elderly man is sitting on a bench	0.900	0.286	0.377
4505	The doctors are healing a man	The doctor is helping the patient	0.840	0.235	0.366
9188	A dog is turning on the grass and pursuing a flying tennis ball	A yellow dog is chasing a ball	0.880	0.320	0.314
450	A lady is surfing and riding a wave	A blond girl is looking at the waves	0.660	0.105	0.308
5352	A man is playing a large flute	There is no man playing a flute	0.820	0.267	0.306
8383	A girl in blue is sliding down a green slide	The young girl in blue is enjoying a slide	0.860	0.308	0.305
8963	A small group of people are standing and two are sitting on the sofa	A group of five young adults are lounging indoors	0.760	0.214	0.298
2795	A small guinea pig is gnawing and eating a piece of carrot on the floor	A guinea pig is devouring a carrot	0.900	0.370	0.281
8658	No group of people is gathering at a stand at the fair	The people are standing at a carnival	0.760	0.235	0.275
2527	People are riding and paddling a raft	Four people are floating on a raft	0.840	0.316	0.275
9425	No dog is in the sand that is blowing in the wind	A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background	0.800	0.286	0.264
7448	A small child is showing excitement on a swing set at the park	The girl, who is little, is swinging and the woman is standing behind	0.720	0.207	0.263
6932	The snowboarder is doing a flip over a mound of snow	Somebody is jumping in the air on a board	0.760	0.250	0.260
2721	The man is kick boxing with a trainer	A karate practitioner is kicking at another man who is wearing protective boxing gloves	0.800	0.303	0.247
6634	A hurdle is being leapt by a horse that has a rider on its back	A horse and its rider are leaping over a barrier	0.900	0.414	0.236
6287	A black dog is running in the grass and its tongue is hanging out	A black dog is running in the grass	0.980	0.500	0.230
9242	The man in blue is posing for a picture next to a vehicle	A man is standing at the wheel of a classic American car that has its door and trunk open	0.640	0.162	0.228
7464	A surfer is riding the wave	A man is falling off a surfboard in the water	0.700	0.222	0.228
1861	The microphone in front of the talking parrot is being muted	The parrot is talking into the microphone	0.800	0.333	0.218
8855	The dog is on a leash and is walking near the water	A black dog on a leash is walking in the water	0.900	0.435	0.216
9713	A black and white dog is carrying a huge stick on the green grass	A black and white dog with a large branch is running in the field	0.900	0.438	0.214
9287	A man is skiing down a hill and jumping a red obstacle	A man is snowboarding down a railing in the snow	0.620	0.160	0.212
2525	A few people are floating on a raft	People are riding and paddling a raft	0.760	0.300	0.212
2166	A woman is sewing with a machine	A woman is using a machine made for sewing	0.960	0.500	0.212
2058	A lady is cutting up some meat precisely	Some meat is being cut into pieces by a woman	0.960	0.500	0.212
6729	A kid in orange is playing outside with a snowball	A snow ball is being made by a child	0.660	0.200	0.212
3861	A man from the wilderness is on a walking path	A man is walking down a road	0.680	0.222	0.210
285	A bald person is playing a guitar	A person has blonde and flyaway hair and is playing a guitar	0.780	0.333	0.200
4135	A dog is bouncing on a trampoline	A dog is jumping on a trampoline	0.940	0.500	0.194
2476	Some people are singing	A group of people is singing	0.940	0.500	0.194
8576	A black dog and a small white and black dog are looking up at a kitchen countertop	A large dog and a small dog are standing next to the kitchen counter and are investigating	0.840	0.400	0.194
7820	Two dogs are looking at something that is splashing in the water	Some dogs are not playing in a stream	0.740	0.300	0.194
687	One white dog is staring at the black street	Two dogs of different breeds are looking at each other across a street	0.680	0.250	0.185
9677	A young girl is playing on the edge of a fountain and an older woman is watching her	A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain	0.700	0.273	0.183
7951	A boy in a white t-shirt is splashing in shallow water	A boy is running through the water at the beach	0.700	0.273	0.183
5052	A door is being opened by a man	A man is cutting an onion	0.240	0.667	0.182
7471	A man and two women in a dark room are sitting at a table with candles	The group of people is sitting in a dim room	0.720	0.296	0.180
24	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	0.680	0.261	0.176
9224	A dog is running with a ball	The black dog is carrying a blue and white ball in its mouth	0.800	0.381	0.176
