sent1	sent2	sick	glove_orig	glove_v1	glove_v2	sbert_orig	sbert_v1	sbert_v2	sbert
A man is putting garlic on some slices of bread	A man is putting garlic on some bread slices	1.0	0.917	0.841	0.917	0.917	0.811	0.917	0.9750134
A rainbow afghan is being held by a girl in gold and purple	A girl in gold and purple is holding a rainbow afghan	1.0	0.972	0.972	0.972	0.972	0.972	0.972	0.93456197
A woman is playing an electric guitar	A woman is playing a guitar which is electric	1.0	1.0	0.897	1.0	1.0	0.832	1.0	0.9753952
Two women with folded arms, who are young, are looking at the screen	Two young women with folded arms are looking at the screen	1.0	0.875	0.875	0.875	0.875	0.875	0.875	0.9553989
A group of kids is playing on a structure which is colorful	A group of kids is playing on a colorful structure	1.0	0.9	0.91	0.9	0.9	0.93	0.9	0.97714573
A bird, which is black, is sitting on a dead tree	A black bird is sitting on a dead tree	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9719623
A child is making a snow ball	A snow ball is being made by a child	1.0	1.0	1.0	1.0	1.0	0.894	1.0	0.8782927
A dog is jumping for a Frisbee in the snow	The dog is jumping for a Frisbee in the snow	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99617743
A black dog in the snow is jumping off the ground and catching a stick	A black dog in the snow is leaping off the ground and catching a stick	1.0	0.913	0.913	0.913	0.918	0.918	0.918	0.9942391
A man is holding a mask in his raised hand	A mask is being held by a man in his raised hand	1.0	0.957	0.957	0.957	0.957	0.957	0.957	0.94433844
Two children are crouching under some bars made of metal	Two children are crouching under some metal bars	1.0	0.8	0.778	0.8	0.8	0.733	0.8	0.9778483
The player in purple, white and black is playing near the end of the field	A player in purple, white and black is playing near the end of the field	1.0	0.95	0.95	0.95	0.95	0.95	0.95	0.9958283
A brown dog is running through the grass which is tall and green	A brown dog is running through tall green grass	1.0	0.769	0.813	0.769	0.769	0.709	0.769	0.98019093
One man is leading the race	A man is leading the race	1.0	0.857	0.857	1.0	0.857	0.857	0.857	0.93015105
A young man with brown hair and shades is sitting in front of some cans of soda	A young man with brown hair and sunglasses is sitting in front of some cans of soda	1.0	0.958	0.958	0.958	0.958	0.958	0.958	0.97598916
A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion	The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion	1.0	0.973	0.973	0.973	0.973	0.973	0.973	0.9870524
A dog which is furry and black is in a backyard and is carrying a basket in its mouth.	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	1.0	0.878	0.935	0.878	0.915	0.974	0.915	0.9750482
A woman is penciling on eyeshadow	The woman is penciling on eyeshadow	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99529386
The family is posing by a mantel and a Christmas tree	A family is posing by the mantel and the Christmas tree	1.0	0.906	0.885	0.906	0.906	0.805	0.906	0.9843381
A woman is putting cosmetics on her eyelid	A woman is applying cosmetics to her eyelid	1.0	0.778	0.778	0.778	0.812	0.812	0.812	0.9648981
A white dog is standing on the leaves on the ground	One white dog is standing on the leaves on the ground	1.0	0.909	0.909	0.909	0.909	0.909	0.909	0.95664924
A child in clothing which is light colored is standing with his arms extended outward	A child in light colored clothing is standing with his arms extended outward	1.0	0.765	0.765	0.765	0.765	0.765	0.765	0.9812901
The boy and girl are playing on the outdoor gym	A boy and a girl are playing on the outdoor gym	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98814
The motocross rider is wearing blue and black pants	Blue and black pants are being worn by the motocross rider	1.0	0.553	0.676	0.553	0.526	0.649	0.526	0.9267273
A female wearing pink gloves and a brown jacket is smiling in the snow	The female wearing pink gloves and a brown jacket is smiling in the snow	1.0	0.944	0.955	0.944	0.944	0.926	0.944	0.9987011
The woman is pouring oil into a skillet	Oil is being poured into a skillet by the woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9586788
