sent1	sent2	theme	score
Should I use IRA money to pay down my student loans?	Should I cash out my IRA to pay my student loans?	question-question	5.0
How do I keep an egg from cracking while being boiled?	How do I prevent an egg cracking while hard boiling it?	question-question	5.0
How do you remove mold from a tent?	How do I remove mildew from a tent?	question-question	5.0
What could be wrong with my air conditioner?	What could be wrong with my A/C unit?	question-question	5.0
What language does this look like?	What is this language?	question-question	5.0
What more can I do to improve my credit score?	What can I realistically do to raise my credit score?	question-question	5.0
How to remove a ticks on my dog?	How to remove a tick on a dog?	question-question	5.0
How do I pump up water pressure in my shower?	How can I improve the water pressure in my shower?	question-question	5.0
Is it possible to do a Master's in Mathematics after a Bachelor's in Economics?	Can I get a Master's in Economics with a Bachelor's in Mathematics?	question-question	5.0
How can I help my dog adjust to a move?	How do I help my dog adjust after moving?	question-question	5.0
How do I pump up water pressure in my shower?	How can I boost the water pressure in my shower?	question-question	5.0
How do I make a height adjustable desk?	How can I build a wall mounted adjustable height desk?	question-question	4.0
How can I find out why my washing machine trips the outlet?	How can I figure out why my washing machine is tripping the GFCI receptacle?	question-question	4.0
What are the bus (coach) connections from Thessaloniki, Greece to Tbilisi, Georgia?	Is there a bus from Tbilisi, Georgia to Thessaloniki, Greece?	question-question	4.0
How do I track investment performance in Quicken across rollovers?	How do I track 401k rollovers in Quicken?	question-question	4.0
Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a UK airside transit visa, if I already have a UK visitor visa?	question-question	4.0
Layover at Narita for 3 hours. Do i need a transit visa?	Layover at Narita, Japan. Do I need a transit visa?	question-question	4.0
Is it ok to apply for more than one Phd student program?	Is it advisable to apply to more than one PhD program?	question-question	4.0
How do I remove paint from a wood floor?	How can I remove small paint specks from a wooden floor?	question-question	4.0
Does this beginning hook the reader?	Does my story beginning hook the reader? (dialogue + narration)?	question-question	4.0
How can I remove a really stuck screw?	How can I remove this screw?	question-question	4.0
What could be causing my GFCI to trip?	What could be causing GFCI breakers and receptacles to trip?	question-question	4.0
How can I get my colleagues to stop interrupting me?	How can I get my colleague to stop calling me over to his desk when he wants my help?	question-question	4.0
how to blackout a large bedroom window on a budget?	How can I thoroughly blackout a bedroom window on a budget?	question-question	4.0
What type of pants are good for weight lifting?	What is good workout attire for weight lifting?	question-question	4.0
What is the difference between a Rollover IRA and a Roth IRA?	"What are the differences between a ""traditional"" IRA and a Roth IRA?"	question-question	4.0
How to deal with the child when both the parents are not on the same page?	How to deal with the toddler when me and my partner are not on the same page?	question-question	4.0
How do I pump up water pressure in my shower?	How can I fix low water pressure in one shower?	question-question	4.0
Greek type D visa: Can I travel to other Schengen countries?	Can I go to visit Schengen countries with visa type D-mult?	question-question	4.0
What can I do about out of square rough opening for new windows?	What can I do about a Rough opening that is REALLY out of square?	question-question	4.0
How to remove construction adhesive from concrete?	How do I remove adhesive from outdoor concrete deck that is textured?	question-question	4.0
